,ZIP,Number_of_bars,Cases_cumulative,Population,Cases_per_population,Bars_per_population
0,60647,1000.0,2285.0,87509.0,0.02611159994971946,0.011427396039264532
1,60639,299.0,4747.0,90517.0,0.05244318746754753,0.0033032469038965055
2,60707,98.0,583.0,43019.0,0.013552151374973849,0.0022780631813849694
3,60622,1000.0,1179.0,52793.0,0.022332506203473945,0.018941905176822683
4,60651,36.0,2545.0,63218.0,0.04025752159195166,0.00056945806574077
5,60611,1000.0,457.0,32426.0,0.014093628569666318,0.030839449824215135
6,60638,302.0,2059.0,58797.0,0.03501879347585761,0.005136316478731908
7,60652,84.0,1660.0,43907.0,0.03780718336483932,0.0019131345799075319
8,60626,330.0,1448.0,49730.0,0.029117233058515987,0.006635833500904886
9,60615,222.0,645.0,41563.0,0.015518610302432453,0.005341289127348844
10,60621,39.0,768.0,29042.0,0.026444459747951243,0.0013428827215756492
11,60645,63.0,1446.0,47732.0,0.0302941422944775,0.0013198692700913434
12,60643,129.0,1204.0,49870.0,0.024142771205133348,0.0025867254862642873
13,60660,234.0,767.0,43242.0,0.017737384949817307,0.005411405577910365
14,60628,68.0,1710.0,66724.0,0.025627959954439183,0.0010191235537437802
15,60625,453.0,2202.0,79243.0,0.027787943414560277,0.005716593263758313
16,60641,286.0,2499.0,71023.0,0.03518578488658604,0.004026864536840179
17,60657,1000.0,982.0,70052.0,0.014018157939816136,0.01427510991834637
18,60636,28.0,1096.0,32203.0,0.03403409620221719,0.0008694842095456945
19,60633,53.0,349.0,12871.0,0.02711522026260586,0.004117784165954472
20,60643,129.0,1204.0,49870.0,0.024142771205133348,0.0025867254862642873
21,60612,200.0,991.0,34311.0,0.02888286555332109,0.005829034420448253
22,60604,189.0,31.0,782.0,0.03964194373401535,0.24168797953964194
23,60624,27.0,1241.0,36158.0,0.03432158858343935,0.0007467227169644339
24,60644,27.0,1642.0,47712.0,0.034414822266934944,0.0005658953722334004
25,60655,110.0,667.0,28804.0,0.023156506040827664,0.003818914039716706
26,60603,402.0,13.0,1174.0,0.011073253833049404,0.3424190800681431
27,60605,697.0,233.0,27519.0,0.008466877430139177,0.025327955230931357
28,60653,90.0,777.0,31972.0,0.024302514700362817,0.0028149630927061177
29,60609,179.0,2576.0,61495.0,0.04188958451906659,0.0029108057565655743
30,60666,265.0,2246.0,94395.0,0.023793633137348377,0.0028073520843265
31,60618,810.0,839.0,54464.0,0.01540467097532315,0.014872209165687426
32,60616,611.0,21.0,1244.0,0.016881028938906754,0.49115755627009644
33,60602,205.0,213.0,14675.0,0.014514480408858603,0.013969335604770016
34,60601,722.0,2698.0,79205.0,0.034063506091787134,0.00911558613723881
35,60608,381.0,738.0,29591.0,0.024940015545267143,0.012875536480686695
36,60607,1000.0,152.0,9926.0,0.015313318557324198,0.10074551682450131
37,60661,384.0,71.0,3101.0,0.02289584005159626,0.12383102225088681
38,60606,297.0,110.0,28577.0,0.003849249396367708,0.010392973370192812
39,60827,0.0,391.0,20201.0,0.019355477451611307,0.0
40,60642,542.0,1119.0,41068.0,0.027247491964546604,0.013197623453783967
41,60659,193.0,583.0,43019.0,0.013552151374973849,0.0044863897347683585
42,60707,98.0,784.0,50113.0,0.01564464310657913,0.0019555803883223913
43,60613,933.0,665.0,39019.0,0.017042979061482867,0.023911427765960173
44,60610,1000.0,356.0,19135.0,0.018604651162790697,0.052260256075254766
45,60654,1000.0,4628.0,91039.0,0.05083535627588177,0.010984303430397961
46,60632,312.0,4482.0,85979.0,0.052129008246199655,0.0036287930773793602
47,60623,224.0,5421.0,111850.0,0.048466696468484574,0.0020026821636119803
48,60629,135.0,1706.0,68096.0,0.025052866541353382,0.00198249530075188
49,60620,83.0,927.0,47454.0,0.019534707295486155,0.00174906224975766
50,60637,107.0,1409.0,61258.0,0.02300107741029743,0.0017467106337131478
51,60619,157.0,2545.0,63218.0,0.04025752159195166,0.002483469897813914
