,OBJECTID,ZIP,SHAPE_AREA,SHAPE_LEN,Number_of_bars,Population,Cases_cumulative,Cases_per_population,Bars_per_population
0,33,60647,"106,052,287.49","42,720.04",1151.0,87509.0,2285.0,0.02611159994971946,0.013152932841193477
1,34,60639,"127,476,050.76","48,103.78",299.0,90517.0,4747.0,0.05244318746754753,0.0033032469038965055
2,35,60707,"45,069,038.48","27,288.61",98.0,43019.0,583.0,0.013552151374973849,0.0022780631813849694
3,36,60622,"70,853,834.38","42,527.99",1131.0,52793.0,1179.0,0.022332506203473945,0.021423294754986458
4,37,60651,"99,039,621.25","47,970.14",36.0,63218.0,2545.0,0.04025752159195166,0.00056945806574077
5,38,60611,"23,506,055.73","34,689.35",1853.0,32426.0,457.0,0.014093628569666318,0.05714550052427065
6,39,60638,"166,166,339.10","67,710.65",302.0,58797.0,2059.0,0.03501879347585761,0.005136316478731908
7,40,60652,"128,309,832.19","48,187.95",85.0,43907.0,1660.0,0.03780718336483932,0.0019359099915730977
8,1,60626,"49,170,578.96","33,983.91",329.0,49730.0,1448.0,0.029117233058515987,0.006615724914538508
9,8,60615,"66,565,454.85","38,321.31",222.0,41563.0,645.0,0.015518610302432453,0.005341289127348844
10,9,60621,"104,746,821.07","42,299.92",40.0,29042.0,768.0,0.026444459747951243,0.0013773156118724605
11,2,60645,"62,181,473.52","32,075.60",63.0,47732.0,1446.0,0.0302941422944775,0.0013198692700913434
12,13,60643,"183,013,076.26","59,337.81",129.0,49870.0,1204.0,0.024142771205133348,0.0025867254862642873
13,3,60660,"37,984,388.84","27,307.81",234.0,43242.0,767.0,0.017737384949817307,0.005411405577910365
14,43,60628,"345,241,692.17","83,748.99",68.0,66724.0,1710.0,0.025627959954439183,0.0010191235537437802
15,5,60625,"105,830,918.02","42,524.11",454.0,79243.0,2202.0,0.027787943414560277,0.0057292126749365875
16,6,60641,"113,903,341.11","42,682.98",286.0,71023.0,2499.0,0.03518578488658604,0.004026864536840179
17,7,60657,"63,547,755.92","45,646.49",1518.0,70052.0,982.0,0.014018157939816136,0.021669616856049793
18,10,60636,"104,114,706.69","42,448.28",28.0,32203.0,1096.0,0.03403409620221719,0.0008694842095456945
19,14,60633,"187,526,657.19","59,703.22",53.0,12871.0,349.0,0.02711522026260586,0.004117784165954472
20,15,60643,"3,136,688.22","7,175.09",129.0,49870.0,1204.0,0.024142771205133348,0.0025867254862642873
21,16,60612,"106,718,949.39","42,663.20",200.0,34311.0,991.0,0.02888286555332109,0.005829034420448253
22,48,60604,"4,294,901.99","12,245.81",190.0,782.0,31.0,0.03964194373401535,0.24296675191815856
23,17,60624,"99,418,122.47","40,394.41",27.0,36158.0,1241.0,0.03432158858343935,0.0007467227169644339
24,18,60644,"99,092,221.54","40,030.84",27.0,47712.0,1642.0,0.034414822266934944,0.0005658953722334004
25,49,60655,"115,380,139.15","77,392.32",110.0,28804.0,667.0,0.023156506040827664,0.003818914039716706
26,19,60603,"4,560,228.98","13,672.68",403.0,1174.0,13.0,0.011073253833049404,0.3432708688245315
27,20,60605,"36,301,276.35","37,973.35",700.0,27519.0,233.0,0.008466877430139177,0.025436970820160616
28,21,60653,"67,759,827.81","34,316.36",90.0,31972.0,777.0,0.024302514700362817,0.0028149630927061177
29,22,60609,"213,490,325.26","58,540.92",179.0,61495.0,2576.0,0.04188958451906659,0.0029108057565655743
30,23,60666,"282,085,137.58","101,876.55",265.0,94395.0,2246.0,0.023793633137348377,0.0028073520843265
31,24,60618,"141,235,867.55","47,847.08",810.0,54464.0,839.0,0.01540467097532315,0.014872209165687426
32,25,60616,"109,667,069.37","45,823.54",611.0,1244.0,21.0,0.016881028938906754,0.49115755627009644
33,26,60602,"4,847,124.82","14,448.17",205.0,14675.0,213.0,0.014514480408858603,0.013969335604770016
34,27,60601,"9,166,245.80","19,804.58",723.0,79205.0,2698.0,0.034063506091787134,0.009128211602802853
35,28,60608,"176,505,462.52","53,169.22",381.0,29591.0,738.0,0.024940015545267143,0.012875536480686695
36,29,60607,"64,664,293.94","39,143.64",1137.0,9926.0,152.0,0.015313318557324198,0.11454765262945799
37,30,60661,"9,357,755.68","13,132.57",384.0,3101.0,71.0,0.02289584005159626,0.12383102225088681
38,31,60606,"6,766,410.90","12,040.44",297.0,28577.0,110.0,0.003849249396367708,0.010392973370192812
39,44,60827,"48,551,330.39","28,833.96",0.0,20201.0,391.0,0.019355477451611307,0.0
40,46,60642,"47,961,494.40","31,296.23",544.0,41068.0,1119.0,0.027247491964546604,0.013246323171325606
41,50,60659,"69,698,411.44","38,931.53",193.0,43019.0,583.0,0.013552151374973849,0.0044863897347683585
42,51,60707,"3,450,671.14","7,909.89",98.0,50113.0,784.0,0.01564464310657913,0.0019555803883223913
43,53,60613,"53,990,894.88","31,196.32",933.0,39019.0,665.0,0.017042979061482867,0.023911427765960173
44,54,60610,"31,598,157.09","24,208.70",1258.0,19135.0,356.0,0.018604651162790697,0.06574340214267049
45,55,60654,"15,869,961.35","17,119.70",1419.0,91039.0,4628.0,0.05083535627588177,0.015586726567734707
46,56,60632,"211,755,252.57","63,253.24",312.0,85979.0,4482.0,0.052129008246199655,0.0036287930773793602
47,57,60623,"155,285,532.01","53,406.92",226.0,111850.0,5421.0,0.048466696468484574,0.002020563254358516
48,58,60629,"211,114,779.44","58,701.33",135.0,68096.0,1706.0,0.025052866541353382,0.00198249530075188
49,59,60620,"211,696,050.97","58,466.16",83.0,47454.0,927.0,0.019534707295486155,0.00174906224975766
50,60,60637,"125,424,284.17","52,377.85",107.0,61258.0,1409.0,0.02300107741029743,0.0017467106337131478
